iter	Passed	Remaining
0	1	168
1	2	132
2	3	118
3	4	111
4	5	109
5	6	108
6	7	104
7	9	107
8	10	104
9	11	102
10	12	102
11	13	102
12	15	100
13	16	99
14	17	97
15	18	96
16	19	95
17	20	93
18	21	92
19	22	91
20	24	90
21	25	89
22	26	87
23	27	85
24	28	84
25	29	82
26	30	81
27	31	80
28	32	79
29	33	78
30	34	76
31	35	75
32	36	74
33	37	73
34	38	72
35	40	71
36	41	70
37	42	69
38	43	68
39	45	67
40	46	66
41	47	65
42	48	64
43	49	62
44	50	61
45	51	60
46	52	59
47	53	58
48	55	57
49	57	57
50	59	56
51	60	55
52	61	54
53	62	52
54	63	51
55	64	50
56	65	49
57	66	48
58	67	47
59	68	45
60	69	44
61	71	43
62	72	42
63	73	41
64	74	39
65	74	38
66	76	37
67	77	36
68	78	35
69	79	34
70	80	32
71	81	31
72	82	30
73	83	29
74	84	28
75	86	27
76	87	26
77	88	25
78	89	23
79	90	22
80	92	21
81	92	20
82	94	19
83	95	18
84	96	17
85	97	15
86	98	14
87	99	13
88	100	12
89	101	11
90	102	10
91	103	9
92	104	7
93	105	6
94	106	5
95	107	4
96	109	3
97	110	2
98	111	1
99	113	0
