iter	Passed	Remaining
0	0	804
1	1	696
2	1	644
3	2	617
4	3	608
5	3	607
6	4	595
7	4	586
8	5	596
9	6	601
10	6	599
11	7	603
12	7	600
13	8	597
14	9	595
15	9	594
16	10	589
17	10	586
18	11	582
19	11	579
20	12	577
21	12	575
22	13	575
23	14	572
24	14	570
25	15	569
26	15	567
27	16	565
28	16	563
29	17	565
30	18	566
31	18	567
32	19	568
33	20	569
34	20	567
35	21	565
36	21	565
37	22	565
38	22	564
39	23	563
40	24	563
41	24	562
42	25	560
43	25	559
44	26	558
45	26	557
46	27	557
47	28	555
48	28	555
49	29	554
50	29	557
51	30	562
52	31	563
53	32	563
54	32	562
55	33	561
56	33	560
57	34	559
58	34	558
59	35	557
60	36	556
61	36	555
62	37	554
63	37	553
64	38	552
65	38	551
66	39	551
67	40	550
68	40	548
69	41	547
70	41	548
71	42	548
72	43	549
73	43	548
74	44	547
75	44	546
76	45	545
77	46	544
78	46	543
79	47	542
80	47	541
81	48	541
82	48	537
83	49	536
84	49	536
85	50	535
86	50	534
87	51	534
88	52	533
89	52	533
90	53	532
91	54	533
92	54	534
93	55	534
94	56	534
95	56	533
96	57	532
97	57	531
98	58	530
99	58	529
100	59	528
101	59	527
102	60	526
103	61	526
104	61	525
105	62	524
106	62	523
107	63	522
108	63	521
109	64	520
110	64	518
111	65	517
112	65	517
113	66	517
114	67	516
115	67	516
116	68	514
117	68	513
118	69	512
119	69	510
120	70	509
121	70	507
122	71	506
123	71	505
124	71	503
125	72	502
126	72	500
127	73	499
128	73	498
129	74	497
130	74	496
131	75	495
132	75	494
133	76	492
134	76	491
135	77	490
136	77	490
137	78	490
138	79	490
139	79	490
140	80	490
141	80	489
142	81	488
143	82	487
144	82	486
145	83	485
146	83	484
147	84	483
148	84	482
149	85	481
150	85	480
151	86	479
152	86	478
153	86	477
154	87	476
155	87	475
156	88	474
157	88	473
158	89	473
159	90	472
160	90	471
161	91	471
162	91	471
163	92	470
164	92	469
165	93	469
166	93	468
167	94	467
168	94	466
169	95	465
170	95	464
171	96	463
172	96	462
173	97	461
174	97	460
175	98	460
176	98	459
177	99	458
178	99	457
179	100	456
180	100	455
181	101	454
182	101	453
183	102	453
184	102	453
185	103	453
186	104	452
187	104	452
188	105	451
189	105	450
190	106	449
191	106	448
192	107	448
193	107	447
194	108	446
195	108	445
196	109	444
197	109	443
198	110	442
199	110	442
200	111	441
201	111	440
202	111	439
203	112	438
204	112	438
205	113	437
206	114	437
207	114	436
208	115	436
209	115	436
210	116	435
211	116	434
212	117	434
213	117	433
214	118	432
215	118	431
216	119	430
217	119	430
218	120	429
219	120	428
220	122	430
221	122	429
222	123	429
223	123	428
224	124	428
225	124	427
226	125	426
227	126	426
228	126	426
229	127	426
230	128	426
231	128	426
232	129	425
233	129	425
234	130	424
235	131	424
236	131	423
237	132	422
238	132	422
239	133	422
240	133	421
241	134	420
242	134	419
243	135	419
244	135	418
245	136	418
246	137	417
247	137	417
248	138	416
249	138	416
250	139	416
251	139	415
252	140	414
253	141	414
254	141	414
255	142	413
256	142	412
257	143	412
258	143	411
259	144	410
260	144	409
261	145	409
262	145	408
263	146	407
264	146	406
265	147	406
266	147	405
267	148	404
268	148	403
269	149	403
270	149	403
271	150	403
272	158	422
273	159	422
274	159	421
275	160	420
276	160	420
277	161	419
278	161	418
279	162	418
280	163	417
281	163	417
282	164	416
283	169	426
284	172	433
285	174	434
286	175	435
287	178	440
288	179	440
289	180	441
290	181	441
291	181	440
292	183	442
293	184	443
294	185	443
295	186	442
296	186	442
297	194	457
298	194	456
299	195	457
300	197	457
301	197	457
302	198	456
303	199	456
304	199	455
305	200	455
306	201	454
307	201	453
308	202	452
309	202	451
310	203	450
311	211	467
312	217	477
313	218	477
314	219	476
315	228	494
316	229	493
317	229	492
318	230	491
319	230	490
320	231	489
321	231	487
322	232	486
323	232	485
324	246	512
325	248	513
326	249	512
327	249	511
328	250	510
329	250	509
330	251	507
331	251	506
332	252	505
333	252	504
334	253	503
335	254	503
336	255	503
337	256	503
338	258	503
339	259	503
340	260	503
341	262	504
342	262	503
343	263	502
344	264	501
345	271	513
346	273	514
347	274	514
348	275	512
349	280	520
350	289	534
351	290	534
352	293	538
353	294	538
354	295	537
355	296	536
356	297	535
357	298	534
358	298	533
359	299	532
360	300	531
361	300	530
362	301	529
363	302	528
364	302	526
365	303	525
366	304	524
367	304	523
368	305	521
369	305	520
370	306	519
371	306	517
372	307	516
373	307	515
374	308	513
375	308	512
376	309	512
377	310	511
378	311	509
379	311	508
380	312	507
381	312	505
382	313	504
383	313	503
384	314	501
385	314	500
386	315	499
387	315	497
388	316	496
389	316	495
390	317	493
391	317	492
392	318	491
393	318	490
394	319	488
395	319	487
396	320	486
397	321	485
398	321	484
399	322	484
400	323	483
401	324	482
402	325	481
403	325	480
404	326	479
405	326	478
406	327	476
407	327	475
408	328	474
409	328	473
410	329	471
411	329	470
412	330	469
413	330	468
414	331	466
415	331	465
416	332	464
417	332	463
418	333	462
419	334	461
420	334	460
421	335	459
422	335	458
423	336	457
424	336	455
425	337	454
426	337	453
427	338	452
428	338	450
429	339	449
430	339	448
431	340	447
432	340	446
433	341	445
434	341	443
435	342	442
436	342	441
437	343	440
438	343	439
439	344	437
440	344	437
441	345	436
442	346	435
443	346	434
444	347	432
445	347	431
446	348	430
447	348	429
448	349	428
449	349	427
450	350	426
451	350	425
452	351	423
453	351	422
454	352	421
455	352	420
456	353	419
457	353	418
458	354	417
459	354	416
460	354	415
461	355	413
462	355	412
463	356	411
464	357	411
465	357	410
466	358	409
467	359	408
468	359	407
469	360	406
470	360	404
471	361	403
472	361	402
473	361	401
474	362	400
475	362	399
476	363	398
477	363	397
478	364	396
479	364	395
480	365	394
481	365	393
482	366	392
483	366	391
484	367	390
485	367	389
486	368	388
487	369	387
488	369	386
489	370	385
490	371	384
491	371	383
492	372	382
493	372	381
494	373	380
495	373	379
496	374	378
497	374	377
498	375	376
499	375	375
500	376	374
501	376	373
502	377	372
503	377	371
504	378	370
505	378	369
506	379	369
507	379	368
508	380	367
509	381	366
